country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity
Finland,7.632,1.305,1.592,0.874,0.681,0.202
Norway,7.594,1.456,1.582,0.861,0.686,0.286
Denmark,7.555,1.351,1.59,0.868,0.683,0.284
Iceland,7.495,1.343,1.644,0.914,0.677,0.353
Switzerland,7.487,1.42,1.549,0.927,0.66,0.256
Netherlands,7.441,1.361,1.488,0.878,0.638,0.333
Canada,7.328,1.33,1.532,0.896,0.653,0.321
New Zealand,7.324,1.268,1.601,0.876,0.669,0.365
Sweden,7.314,1.355,1.501,0.913,0.659,0.285
Australia,7.272,1.34,1.573,0.91,0.647,0.361
United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262
Austria,7.139,1.341,1.504,0.891,0.617,0.242
Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143
Ireland,6.977,1.448,1.583,0.876,0.614,0.307
Germany,6.965,1.34,1.474,0.861,0.586,0.273
Belgium,6.927,1.324,1.483,0.894,0.583,0.188
Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196
United States,6.886,1.398,1.471,0.819,0.547,0.291
Israel,6.814,1.301,1.559,0.883,0.533,0.354
United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186
Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064
Malta,6.627,1.27,1.525,0.884,0.645,0.376
France,6.489,1.293,1.466,0.908,0.52,0.098
Mexico,6.488,1.038,1.252,0.761,0.479,0.069
Chile,6.476,1.131,1.331,0.808,0.431,0.197
Taiwan Province of China,6.441,1.365,1.436,0.857,0.418,0.151
Panama,6.43,1.112,1.438,0.759,0.597,0.125
Brazil,6.419,0.986,1.474,0.675,0.493,0.11
Argentina,6.388,1.073,1.468,0.744,0.57,0.062
Guatemala,6.382,0.781,1.268,0.608,0.604,0.179
Uruguay,6.379,1.093,1.459,0.771,0.625,0.13
Qatar,6.374,1.649,1.303,0.748,0.654,0.256
Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098
Singapore,6.343,1.529,1.451,1.008,0.631,0.261
Malaysia,6.322,1.161,1.258,0.669,0.356,0.311
Spain,6.31,1.251,1.538,0.965,0.449,0.142
Colombia,6.26,0.96,1.439,0.635,0.531,0.099
Trinidad and Tobago,6.192,1.223,1.492,0.564,0.575,0.171
Slovakia,6.173,1.21,1.537,0.776,0.354,0.118
El Salvador,6.167,0.806,1.231,0.639,0.461,0.065
Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208
Poland,6.123,1.176,1.448,0.781,0.546,0.108
Bahrain,6.105,1.338,1.366,0.698,0.594,0.243
Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328
Kuwait,6.083,1.474,1.301,0.675,0.554,0.167
Thailand,6.072,1.016,1.417,0.707,0.637,0.364
Italy,6.0,1.264,1.501,0.946,0.281,0.137
Ecuador,5.973,0.889,1.33,0.736,0.556,0.114
Belize,5.956,0.807,1.101,0.474,0.593,0.183
Lithuania,5.952,1.197,1.527,0.716,0.35,0.026
Slovenia,5.948,1.219,1.506,0.856,0.633,0.16
Romania,5.945,1.116,1.219,0.726,0.528,0.088
Latvia,5.933,1.148,1.454,0.671,0.363,0.092
Japan,5.915,1.294,1.462,0.988,0.553,0.079
Mauritius,5.891,1.09,1.387,0.684,0.584,0.245
Jamaica,5.89,0.819,1.493,0.693,0.575,0.096
South Korea,5.875,1.266,1.204,0.955,0.244,0.175
Cyprus,5.835,1.229,1.211,0.909,0.495,0.179
Russia,5.81,1.151,1.479,0.599,0.399,0.065
Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148
Cyprus,5.762,1.229,1.191,0.909,0.423,0.202
Bolivia,5.752,0.751,1.223,0.508,0.606,0.141
Estonia,5.739,1.2,1.532,0.737,0.553,0.086
Paraguay,5.681,0.835,1.522,0.615,0.541,0.162
Peru,5.663,0.934,1.249,0.674,0.53,0.092
Kosovo,5.662,0.855,1.23,0.578,0.448,0.274
Moldova,5.64,0.657,1.301,0.62,0.232,0.171
Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199
Hungary,5.62,1.171,1.401,0.732,0.259,0.061
Libya,5.566,0.985,1.35,0.553,0.496,0.116
Philippines,5.524,0.775,1.312,0.513,0.643,0.12
Honduras,5.504,0.62,1.205,0.622,0.459,0.197
Belarus,5.483,1.039,1.498,0.7,0.307,0.101
Turkey,5.483,1.148,1.38,0.686,0.324,0.106
Pakistan,5.472,0.652,0.81,0.424,0.334,0.216
Hong Kong S.A.R. of China,5.43,1.405,1.29,1.03,0.524,0.246
Portugal,5.41,1.188,1.429,0.884,0.562,0.055
Serbia,5.398,0.975,1.369,0.685,0.288,0.134
Greece,5.358,1.154,1.202,0.879,0.131,0.0
Lebanon,5.358,0.965,1.179,0.785,0.503,0.214
Montenegro,5.347,1.017,1.279,0.729,0.259,0.111
Croatia,5.321,1.115,1.161,0.737,0.38,0.12
Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12
Algeria,5.295,0.979,1.154,0.687,0.077,0.055
Morocco,5.254,0.779,0.797,0.669,0.46,0.026
China,5.246,0.989,1.142,0.799,0.597,0.029
Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031
Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187
North Macedonia,5.185,0.959,1.239,0.691,0.394,0.173
Jordan,5.161,0.822,1.265,0.645,0.468,0.13
Nigeria,5.155,0.689,1.172,0.048,0.462,0.201
Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281
Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216
Mongolia,5.125,0.914,1.517,0.575,0.395,0.253
Vietnam,5.103,0.715,1.365,0.702,0.618,0.177
Indonesia,5.093,0.899,1.215,0.522,0.538,0.484
Bhutan,5.082,0.796,1.335,0.527,0.541,0.364
Somalia,4.982,0.0,0.712,0.115,0.674,0.238
Cameroon,4.975,0.535,0.891,0.182,0.454,0.183
Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064
Nepal,4.88,0.425,1.228,0.539,0.526,0.302
Venezuela,4.806,0.996,1.469,0.657,0.133,0.056
Gabon,4.758,1.036,1.164,0.404,0.356,0.032
Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086
South Africa,4.724,0.94,1.41,0.33,0.516,0.103
Iran,4.707,1.059,0.771,0.691,0.459,0.282
Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146
Ghana,4.657,0.592,0.896,0.337,0.499,0.212
Senegal,4.631,0.429,1.117,0.433,0.406,0.138
Laos,4.623,0.72,1.034,0.441,0.626,0.23
Tunisia,4.592,0.9,0.906,0.69,0.271,0.04
Albania,4.586,0.916,0.817,0.79,0.419,0.149
Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238
Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091
Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153
Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307
Iraq,4.456,1.01,0.971,0.536,0.304,0.148
Mali,4.447,0.37,1.233,0.152,0.367,0.139
Namibia,4.441,0.874,1.281,0.365,0.519,0.051
Cambodia,4.433,0.549,1.088,0.457,0.696,0.256
Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175
Egypt,4.419,0.885,1.025,0.553,0.312,0.092
Mozambique,4.417,0.198,0.902,0.173,0.531,0.206
Kenya,4.41,0.493,1.048,0.454,0.504,0.352
Zambia,4.377,0.562,1.047,0.295,0.503,0.221
Mauritania,4.356,0.557,1.245,0.292,0.129,0.134
Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22
Georgia,4.34,0.853,0.592,0.643,0.375,0.038
Armenia,4.321,0.816,0.99,0.666,0.26,0.077
Myanmar,4.308,0.682,1.174,0.429,0.58,0.598
Chad,4.301,0.358,0.907,0.053,0.189,0.181
Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197
India,4.19,0.721,0.747,0.485,0.539,0.172
Niger,4.166,0.131,0.867,0.221,0.39,0.175
Uganda,4.161,0.322,1.09,0.237,0.45,0.259
Benin,4.141,0.378,0.372,0.24,0.44,0.163
Sudan,4.139,0.605,1.24,0.312,0.016,0.134
Ukraine,4.103,0.793,1.413,0.609,0.163,0.187
Togo,3.999,0.259,0.474,0.253,0.434,0.158
Guinea,3.964,0.344,0.792,0.211,0.394,0.185
Lesotho,3.808,0.472,1.215,0.079,0.423,0.116
Angola,3.795,0.73,1.125,0.269,0.0,0.079
Madagascar,3.774,0.262,0.908,0.402,0.221,0.155
Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132
Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191
Botswana,3.59,1.017,1.174,0.417,0.557,0.042
Malawi,3.587,0.186,0.541,0.306,0.531,0.21
Haiti,3.582,0.315,0.714,0.289,0.025,0.392
Liberia,3.495,0.076,0.858,0.267,0.419,0.206
Syria,3.462,0.689,0.382,0.539,0.088,0.376
Rwanda,3.408,0.332,0.896,0.4,0.636,0.2
Yemen,3.355,0.442,1.073,0.343,0.244,0.083
Tanzania,3.303,0.455,0.991,0.381,0.481,0.27
South Sudan,3.254,0.337,0.608,0.177,0.112,0.224
Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218
Burundi,2.905,0.091,0.627,0.145,0.065,0.149
Finland,7.769,1.34,1.587,0.986,0.596,0.153
Denmark,7.6,1.383,1.573,0.996,0.592,0.252
Norway,7.554,1.488,1.582,1.028,0.603,0.271
Iceland,7.494,1.38,1.624,1.026,0.591,0.354
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322
Switzerland,7.48,1.452,1.526,1.052,0.572,0.263
Sweden,7.343,1.387,1.487,1.009,0.574,0.267
New Zealand,7.307,1.303,1.557,1.026,0.585,0.33
Canada,7.278,1.365,1.505,1.039,0.584,0.285
Austria,7.246,1.376,1.475,1.016,0.532,0.244
Australia,7.228,1.372,1.548,1.036,0.557,0.332
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144
Israel,7.139,1.276,1.455,1.029,0.371,0.261
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348
Ireland,7.021,1.499,1.553,0.999,0.516,0.298
Germany,6.985,1.373,1.454,0.987,0.495,0.261
Belgium,6.923,1.356,1.504,0.986,0.473,0.16
United States,6.892,1.433,1.457,0.874,0.454,0.28
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262
Malta,6.726,1.3,1.52,0.999,0.564,0.375
Mexico,6.595,1.07,1.323,0.861,0.433,0.074
France,6.592,1.324,1.472,1.045,0.436,0.111
Taiwan Province of China,6.446,1.368,1.43,0.914,0.351,0.242
Chile,6.444,1.159,1.369,0.92,0.357,0.187
Guatemala,6.436,0.8,1.269,0.746,0.535,0.175
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08
Qatar,6.374,1.684,1.313,0.871,0.555,0.22
Spain,6.354,1.286,1.484,1.062,0.362,0.153
Panama,6.321,1.149,1.442,0.91,0.516,0.109
Brazil,6.3,1.004,1.439,0.802,0.39,0.099
Uruguay,6.293,1.124,1.465,0.891,0.523,0.127
Singapore,6.262,1.572,1.463,1.141,0.556,0.271
El Salvador,6.253,0.794,1.242,0.789,0.43,0.093
Italy,6.223,1.294,1.488,1.039,0.231,0.158
Bahrain,6.199,1.362,1.368,0.871,0.536,0.255
Slovakia,6.198,1.246,1.504,0.881,0.334,0.121
Trinidad and Tobago,6.192,1.231,1.477,0.713,0.489,0.185
Poland,6.182,1.206,1.438,0.884,0.483,0.117
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322
Lithuania,6.149,1.238,1.515,0.818,0.291,0.043
Colombia,6.125,0.985,1.41,0.841,0.47,0.099
Slovenia,6.118,1.258,1.523,0.953,0.564,0.144
Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2
Kosovo,6.1,0.882,1.232,0.758,0.489,0.262
Argentina,6.086,1.092,1.432,0.881,0.471,0.066
Romania,6.07,1.162,1.232,0.825,0.462,0.083
Cyprus,6.046,1.263,1.223,1.042,0.406,0.19
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126
Kuwait,6.021,1.5,1.319,0.808,0.493,0.142
Thailand,6.008,1.05,1.409,0.828,0.557,0.359
Latvia,5.94,1.187,1.465,0.812,0.264,0.075
South Korea,5.895,1.301,1.219,1.036,0.159,0.175
Estonia,5.893,1.237,1.528,0.874,0.495,0.103
Jamaica,5.89,0.831,1.478,0.831,0.49,0.107
Mauritius,5.888,1.12,1.402,0.798,0.498,0.215
Japan,5.886,1.327,1.419,1.088,0.445,0.069
Honduras,5.86,0.642,1.236,0.828,0.507,0.246
Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146
Bolivia,5.779,0.776,1.209,0.706,0.511,0.137
Hungary,5.758,1.201,1.41,0.828,0.199,0.081
Paraguay,5.743,0.855,1.475,0.777,0.514,0.184
Cyprus,5.718,1.263,1.252,1.042,0.417,0.191
Peru,5.697,0.96,1.274,0.854,0.455,0.083
Portugal,5.693,1.221,1.431,0.999,0.508,0.047
Pakistan,5.653,0.677,0.886,0.535,0.313,0.22
Russia,5.648,1.183,1.452,0.726,0.334,0.082
Philippines,5.631,0.807,1.293,0.657,0.558,0.117
Serbia,5.603,1.004,1.383,0.854,0.282,0.137
Moldova,5.529,0.685,1.328,0.739,0.245,0.181
Libya,5.525,1.044,1.303,0.673,0.416,0.133
Montenegro,5.523,1.051,1.361,0.871,0.197,0.142
Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23
Croatia,5.432,1.155,1.266,0.914,0.296,0.119
Hong Kong S.A.R. of China,5.43,1.438,1.277,1.122,0.44,0.258
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263
Turkey,5.373,1.183,1.36,0.808,0.195,0.083
Malaysia,5.339,1.221,1.171,0.828,0.508,0.26
Belarus,5.323,1.067,1.465,0.789,0.235,0.094
Greece,5.287,1.181,1.156,0.999,0.067,0.0
Mongolia,5.285,0.948,1.531,0.667,0.317,0.235
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3
Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244
Algeria,5.211,1.002,1.16,0.785,0.086,0.073
Morocco,5.208,0.801,0.782,0.782,0.418,0.036
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035
Lebanon,5.197,0.987,1.224,0.815,0.216,0.166
Indonesia,5.192,0.931,1.203,0.66,0.491,0.498
China,5.191,1.029,1.125,0.893,0.521,0.058
Vietnam,5.175,0.741,1.346,0.851,0.543,0.147
Bhutan,5.082,0.813,1.321,0.604,0.457,0.37
Cameroon,5.044,0.549,0.91,0.331,0.381,0.187
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081
Ghana,4.996,0.611,0.868,0.486,0.381,0.245
Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154
Nepal,4.913,0.446,1.226,0.677,0.439,0.285
Jordan,4.906,0.837,1.225,0.815,0.383,0.11
Benin,4.883,0.393,0.437,0.397,0.349,0.175
Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105
Gabon,4.799,1.057,1.183,0.571,0.295,0.043
Laos,4.796,0.764,1.03,0.551,0.547,0.266
South Africa,4.722,0.96,1.351,0.469,0.389,0.13
Albania,4.719,0.947,0.848,0.874,0.383,0.178
Venezuela,4.707,0.96,1.427,0.805,0.154,0.064
Cambodia,4.7,0.574,1.122,0.637,0.609,0.232
Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103
Senegal,4.681,0.45,1.134,0.571,0.292,0.153
Somalia,4.668,0.0,0.698,0.268,0.559,0.243
Namibia,4.639,0.879,1.313,0.477,0.401,0.07
Niger,4.628,0.138,0.774,0.366,0.318,0.188
Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177
Armenia,4.559,0.85,1.055,0.815,0.283,0.095
Iran,4.548,1.1,0.842,0.785,0.305,0.27
Guinea,4.534,0.38,0.829,0.375,0.332,0.207
Georgia,4.519,0.886,0.666,0.752,0.346,0.043
Gambia,4.516,0.308,0.939,0.428,0.382,0.269
Kenya,4.509,0.512,0.983,0.581,0.431,0.372
Mauritania,4.49,0.57,1.167,0.489,0.066,0.106
Mozambique,4.466,0.204,0.986,0.39,0.494,0.197
Tunisia,4.461,0.921,1.0,0.815,0.167,0.059
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166
Iraq,4.437,1.043,0.98,0.574,0.241,0.148
Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212
Mali,4.39,0.385,1.105,0.308,0.327,0.153
Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252
Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244
Myanmar,4.36,0.71,1.181,0.555,0.525,0.566
Chad,4.35,0.35,0.766,0.192,0.174,0.198
Ukraine,4.332,0.82,1.39,0.739,0.178,0.187
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209
Swaziland,4.212,0.811,1.149,0.0,0.313,0.074
Uganda,4.189,0.332,1.069,0.443,0.356,0.252
Egypt,4.166,0.913,1.039,0.644,0.241,0.076
Zambia,4.107,0.578,1.058,0.426,0.431,0.247
Togo,4.085,0.275,0.572,0.41,0.293,0.177
India,4.015,0.755,0.765,0.588,0.498,0.2
Liberia,3.975,0.073,0.922,0.443,0.37,0.233
Comoros,3.973,0.274,0.757,0.505,0.142,0.275
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107
Burundi,3.775,0.046,0.447,0.38,0.22,0.176
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151
Haiti,3.597,0.323,0.688,0.449,0.026,0.419
Botswana,3.488,1.041,1.145,0.538,0.455,0.025
Syria,3.462,0.619,0.378,0.44,0.013,0.331
Malawi,3.41,0.191,0.56,0.495,0.443,0.218
Yemen,3.38,0.287,1.163,0.463,0.143,0.108
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276
Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158
Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235
South Sudan,2.853,0.306,0.575,0.295,0.01,0.202
Finland,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442
Denmark,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396
Switzerland,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754
Iceland,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228
Norway,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086
Netherlands,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569
Sweden,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893
New Zealand,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211
Austria,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764
Luxembourg,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392
Canada,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892
Australia,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613
United Kingdom,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441
Israel,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796
Costa Rica,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311
Ireland,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995
Germany,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704
United States,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059
Czech Republic,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929
Belgium,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159
United Arab Emirates,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598
Malta,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831
France,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703
Mexico,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485
Taiwan Province of China,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705
Uruguay,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691
Saudi Arabia,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684
Spain,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548
Guatemala,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665
Italy,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211
Singapore,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906
Brazil,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588
Slovenia,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498
El Salvador,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363
Kosovo,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865
Panama,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308
Slovakia,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774
Uzbekistan,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023
Chile,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001
Bahrain,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711
Lithuania,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041
Trinidad and Tobago,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255
Poland,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244
Colombia,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094
Cyprus,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334
Nicaragua,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477
Romania,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619
Kuwait,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092
Mauritius,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551
Kazakhstan,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793
Estonia,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748
Philippines,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212
Hungary,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239
Thailand,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014
Argentina,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471
Honduras,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199
Latvia,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945
Ecuador,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477
Portugal,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947
Jamaica,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493
South Korea,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866
Japan,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178
Peru,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817
Serbia,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289
Bolivia,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074
Pakistan,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063
Paraguay,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241
Dominican Republic,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781
Bosnia and Herzegovina,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244
Moldova,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184
